Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1013326,-,-,-,29.69,-82.34,-5,56,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI
2014,1,15,7,30,0,0
2014,1,15,8,0,29,494
2014,1,15,8,30,43,679
2014,1,15,9,0,53,786
2014,1,15,9,30,138,351
2014,1,15,10,0,162,414
2014,1,15,10,30,135,628
2014,1,15,11,0,255,231
2014,1,15,11,30,280,208
2014,1,15,12,0,258,399
2014,1,15,12,30,275,358
2014,1,15,13,0,178,649
2014,1,15,13,30,242,444
2014,1,15,14,0,184,569
2014,1,15,14,30,249,165
2014,1,15,15,0,216,191
2014,1,15,15,30,175,245
2014,1,15,16,0,133,265
2014,1,15,16,30,88,326
2014,1,15,17,0,58,241
2014,1,15,17,30,23,123
2014,1,15,18,0,0,0
2014,1,15,18,30,0,0
2014,1,15,19,0,0,0
2014,1,15,19,30,0,0
2014,1,15,20,0,0,0
2014,1,15,20,30,0,0
2014,1,15,21,0,0,0
2014,1,15,21,30,0,0
2014,1,15,22,0,0,0
2014,1,15,22,30,0,0
2014,1,15,23,0,0,0
2014,1,15,23,30,0,0
2014,1,16,0,0,0,0
2014,1,16,0,30,0,0
2014,1,16,1,0,0,0
2014,1,16,1,30,0,0
2014,1,16,2,0,0,0
2014,1,16,2,30,0,0
2014,1,16,3,0,0,0
2014,1,16,3,30,0,0
2014,1,16,4,0,0,0
2014,1,16,4,30,0,0
2014,1,16,5,0,0,0
2014,1,16,5,30,0,0
2014,1,16,6,0,0,0
2014,1,16,6,30,0,0
2014,1,16,7,0,0,0
2014,1,16,7,30,0,0
2014,1,16,8,0,26,559
2014,1,16,8,30,39,734
2014,1,16,9,0,46,835
2014,1,16,9,30,52,899
2014,1,16,10,0,56,941
2014,1,16,10,30,60,970
2014,1,16,11,0,63,988
2014,1,16,11,30,64,1001
2014,1,16,12,0,67,1006
2014,1,16,12,30,68,1008
2014,1,16,13,0,70,1001
2014,1,16,13,30,70,995
2014,1,16,14,0,69,981
